Classifier,Accuracy Average,Recall Average,Precision Average,Type
SGD,0.8931055521659548,0.7327638804148872,0.6548406991398994,train
SGD,0.8892682926829268,0.723170731707317,0.6534058585002723,test
GridSGD,0.8931665649786454,0.7329164124466138,0.6546797213279258,train
GridSGD,0.8897560975609755,0.724390243902439,0.6616945477075588,test
KNN,0.9086638194020744,0.7716595485051861,0.7413682572814398,train
KNN,0.8751219512195123,0.6878048780487804,0.6282311523165182,test
GridKNN,0.8946308724832216,0.7365771812080537,0.542545943876402,train
GridKNN,0.8892682926829268,0.723170731707317,0.5229759071980964,test
SVC,0.999267846247712,0.99816961561928,0.9981718138275212,train
SVC,0.8892682926829268,0.723170731707317,0.6277461359778432,test
DecisionTree,1.0,1.0,1.0,train
DecisionTree,0.8565853658536586,0.6414634146341464,0.6444844566192024,test
GridDecisionTree,1.0,1.0,1.0,train
GridDecisionTree,0.8573170731707316,0.6432926829268293,0.6472285935221442,test
LogReg,0.8946308724832216,0.7365771812080537,0.6408829565289297,train
LogReg,0.8892682926829268,0.723170731707317,0.5229759071980964,test
GridLogReg,0.8946308724832216,0.7365771812080537,0.6408829565289297,train
GridLogReg,0.8892682926829268,0.723170731707317,0.5229759071980964,test
MLPNeural,0.7928004881025015,0.4820012202562538,0.6978086635958021,train
MLPNeural,0.786829268292683,0.4670731707317072,0.683784834221548,test
GridMLPNeural,0.8946308724832216,0.7365771812080537,0.542545943876402,train
GridMLPNeural,0.8892682926829268,0.723170731707317,0.5229759071980964,test
RandForest,1.0,1.0,1.0,train
RandForest,0.8892682926829268,0.723170731707317,0.6619189779147406,test
GridRandForest,1.0,1.0,1.0,train
GridRandForest,0.89,0.725,0.6547676669042319,test
ExtraTreesClassifier,1.0,1.0,1.0,train
ExtraTreesClassifier,0.8773170731707317,0.6932926829268292,0.6576865792755596,test
GridExtraTreesClassifier,1.0,1.0,1.0,train
GridExtraTreesClassifier,0.8858536585365853,0.7146341463414634,0.6618401809800718,test
VotingClass,0.8946308724832216,0.7365771812080537,0.6408829565289297,train
VotingClass,0.8892682926829268,0.723170731707317,0.5229759071980964,test
AdaBoost Classifier,1.0,1.0,1.0,train
AdaBoost Classifier,0.8565853658536586,0.6414634146341464,0.64600956433311,test
BaggingClass,0.9953020134228188,0.9882550335570469,0.988275064419121,train
BaggingClass,0.8841463414634146,0.7103658536585366,0.6739043269741511,test
